user_id,household_size,space_type,space_purpose,space_sqm,space_size_cat,style_pref,cooking_freq,laundry_pattern,media_pref,pet,budget_range,payment_pref,recommended_fridge_l,recommended_washer_kg,recommended_tv_inch,recommended_vacuum,recommended_oven,purchased_items
user_0027,1인,원룸,,19,작음,클래식,자주,주 1회,일반 TV 시청,무,300~500만원,일시불,200,6,43.0,무선청소기,빌트인 오븐,"냉장고,세탁기,TV,청소기,조리기기,식기세척기"
user_0028,1인,원룸,,24,작음,인더스트리얼,가끔,주 2~3회,영화/OTT 중심,무,200~300만원,렌탈,180,9,55.0,스틱,전자레인지+인덕션,"냉장고,세탁기,조리기기,식기세척기"
user_0029,1인,오피스텔,서재,32,중간,클래식,자주,주 2~3회,일반 TV 시청,무,300~500만원,일시불,150,8,55.0,스틱,컨벡션 오븐,"냉장고,세탁기,TV,조리기기,공기청정기"
user_0030,1인,오피스텔,서재,40,중간,미니멀,자주,매일,일반 TV 시청,무,200~300만원,일시불,180,12,50.0,무선청소기,빌트인 오븐,"세탁기,TV,청소기,조리기기,공기청정기"
user_0031,2인,아파트,드레스룸,97,큼,클래식,자주,주 2~3회,,무,200~300만원,일시불,200,9,,스틱,전자레인지+인덕션,"냉장고,청소기,조리기기,공기청정기"
user_0032,5인 이상,오피스텔,기타,33,중간,인더스트리얼,가끔,매일,영화/OTT 중심,무,500만원 이상,일시불,450,12,55.0,로봇,전자레인지+인덕션,"냉장고,세탁기,건조기,TV,청소기,조리기기"
user_0033,5인 이상,아파트,드레스룸,47,중간,미니멀,거의 안 함,주 2~3회,,무,200~300만원,일시불,450,9,,스틱,전자레인지,"세탁기,청소기"
user_0034,1인,아파트,서재,60,중간,내추럴,거의 안 함,매일,일반 TV 시청,무,300~500만원,렌탈,150,12,55.0,스틱,전자레인지,"청소기,공기청정기,식기세척기"
user_0035,1인,아파트,거실,72,큼,미니멀,가끔,주 1회,일반 TV 시청,무,100만원대,일시불,150,6,43.0,로봇,전자레인지+인덕션,"냉장고,세탁기,TV,조리기기"
user_0036,3~4인,원룸,,20,작음,내추럴,가끔,주 2~3회,영화/OTT 중심,무,100만원대,일시불,350,8,65.0,로봇,전자레인지+인덕션,"냉장고,청소기,식기세척기"
user_0037,1인,아파트,방,96,큼,내추럴,자주,주 2~3회,게임 중심,무,200~300만원,일시불,150,9,65.0,로봇,빌트인 오븐,"냉장고,TV,청소기,공기청정기"
user_0038,1인,아파트,전체,67,중간,내추럴,가끔,주 2~3회,영화/OTT 중심,무,200~300만원,일시불,200,8,55.0,로봇,전기오븐,"냉장고,TV,조리기기,공기청정기"
user_0039,2인,주택,거실,87,큼,인더스트리얼,가끔,주 1회,게임 중심,무,100만원대,일시불,200,6,55.0,로봇,전자레인지+인덕션,"냉장고,세탁기,TV,조리기기"
user_0040,1인,원룸,,13,작음,미니멀,가끔,주 1회,영화/OTT 중심,유,100만원대,일시불,150,6,50.0,스틱(펫모드),전자레인지+인덕션,"냉장고,세탁기,TV,청소기,식기세척기"
user_0041,2인,오피스텔,서재,26,작음,미니멀,가끔,주 2~3회,영화/OTT 중심,무,100만원대,아직 잘 모름,200,9,65.0,로봇,전기오븐,"냉장고,세탁기,TV,조리기기,공기청정기"
user_0042,1인,주택,전체,87,큼,미니멀,가끔,주 1회,영화/OTT 중심,무,500만원 이상,일시불,180,6,55.0,로봇,전자레인지+인덕션,"냉장고,세탁기,조리기기,식기세척기"
user_0043,1인,아파트,방,89,큼,모던,가끔,주 1회,영화/OTT 중심,무,200~300만원,렌탈,150,7,55.0,로봇,전자레인지+인덕션,"냉장고,조리기기,공기청정기"
user_0044,2인,아파트,서재,69,중간,미니멀,가끔,주 2~3회,영화/OTT 중심,무,300~500만원,일시불,200,8,50.0,스틱,전자레인지+인덕션,"냉장고,세탁기,조리기기"
user_0045,1인,아파트,기타,81,큼,모던,자주,주 2~3회,일반 TV 시청,무,300~500만원,일시불,150,10,43.0,무선청소기,전자레인지+인덕션,"냉장고,TV,청소기,조리기기"
user_0046,1인,주택,드레스룸,99,큼,모던,가끔,주 1회,,유,200~300만원,일시불,150,6,,로봇+스틱,전자레인지+인덕션,"냉장고,세탁기,청소기,조리기기"
user_0047,5인 이상,아파트,방,113,큼,클래식,거의 안 함,주 2~3회,일반 TV 시청,무,500만원 이상,아직 잘 모름,450,8,55.0,로봇,전자레인지,"냉장고,청소기,공기청정기"
user_0048,1인,주택,주방,77,큼,클래식,거의 안 함,주 1회,,무,300~500만원,일시불,150,8,,스틱,전자레인지,"냉장고,세탁기"
user_0049,3~4인,아파트,전체,70,큼,내추럴,가끔,주 2~3회,영화/OTT 중심,무,200~300만원,일시불,300,9,55.0,스틱,전기오븐,"냉장고,세탁기,TV,청소기,조리기기"
user_0050,3~4인,아파트,기타,81,큼,내추럴,가끔,주 2~3회,일반 TV 시청,유,200~300만원,일시불,350,8,50.0,스틱(펫모드),전기오븐,"냉장고,세탁기,TV,청소기,조리기기,공기청정기"
user_0051,1인,주택,기타,72,큼,내추럴,가끔,주 2~3회,영화/OTT 중심,무,300~500만원,일시불,180,9,55.0,로봇,전기오븐,"냉장고,청소기,조리기기,식기세척기"
user_0052,5인 이상,아파트,전체,21,작음,미니멀,가끔,매일,영화/OTT 중심,무,200~300만원,렌탈,400,12,65.0,로봇,전자레인지+인덕션,"냉장고,TV,조리기기"
user_0053,5인 이상,주택,방,77,큼,모던,거의 안 함,주 1회,일반 TV 시청,무,100만원대,일시불,400,6,55.0,스틱,전자레인지,"세탁기,청소기"
user_0054,1인,아파트,기타,91,큼,미니멀,거의 안 함,주 1회,일반 TV 시청,유,200~300만원,일시불,180,8,43.0,로봇+스틱,전자레인지,"냉장고,공기청정기"
user_0055,3~4인,아파트,주방,74,큼,모던,거의 안 함,주 1회,,무,100만원대,일시불,350,8,,스틱,전자레인지,"냉장고,세탁기,식기세척기"
user_0056,2인,원룸,,14,작음,내추럴,거의 안 함,주 1회,영화/OTT 중심,무,200~300만원,혼합,250,6,55.0,스틱,전자레인지,"세탁기,TV,식기세척기"
user_0057,3~4인,오피스텔,거실,28,작음,내추럴,가끔,주 1회,게임 중심,유,100만원대,아직 잘 모름,400,6,65.0,스틱(펫모드),전자레인지+인덕션,"냉장고,세탁기,TV,공기청정기"
user_0058,1인,아파트,방,95,큼,인더스트리얼,가끔,주 2~3회,영화/OTT 중심,유,200~300만원,일시불,150,9,65.0,스틱(펫모드),전기오븐,"냉장고,TV,조리기기,공기청정기,식기세척기"
user_0059,3~4인,기타,전체,43,중간,내추럴,거의 안 함,주 1회,일반 TV 시청,유,100만원대,일시불,300,6,50.0,스틱(펫모드),전자레인지,"세탁기,TV,청소기"
user_0060,3~4인,주택,드레스룸,130,큼,미니멀,자주,주 1회,,무,200~300만원,혼합,350,8,,스틱,전자레인지+인덕션,"냉장고,세탁기,청소기,조리기기"
user_0061,3~4인,아파트,전체,84,큼,클래식,가끔,주 1회,영화/OTT 중심,무,300~500만원,일시불,300,8,65.0,로봇,전자레인지+인덕션,"냉장고,세탁기,건조기,청소기"
user_0062,1인,아파트,방,64,중간,내추럴,자주,주 2~3회,영화/OTT 중심,무,200~300만원,렌탈,150,8,50.0,스틱,전자레인지+인덕션,"냉장고,세탁기,청소기,조리기기"
user_0063,1인,오피스텔,서재,19,작음,내추럴,거의 안 함,주 1회,일반 TV 시청,유,300~500만원,일시불,150,6,43.0,스틱(펫모드),전자레인지,"냉장고,세탁기,TV,청소기,공기청정기,식기세척기"
user_0064,1인,오피스텔,방,22,작음,미니멀,자주,주 1회,영화/OTT 중심,무,200~300만원,일시불,200,8,65.0,스틱,컨벡션 오븐,"냉장고,조리기기,공기청정기"
user_0065,2인,아파트,거실,98,큼,내추럴,가끔,주 1회,영화/OTT 중심,유,500만원 이상,일시불,200,6,65.0,스틱(펫모드),전기오븐,"냉장고,세탁기,TV,청소기,공기청정기"
user_0066,3~4인,오피스텔,드레스룸,26,작음,내추럴,자주,주 2~3회,,무,300~500만원,혼합,300,9,,스틱,전자레인지+인덕션,"냉장고,세탁기,조리기기,공기청정기"
user_0067,5인 이상,아파트,방,40,중간,미니멀,거의 안 함,주 2~3회,영화/OTT 중심,유,200~300만원,혼합,500,8,55.0,스틱(펫모드),전자레인지,"냉장고,세탁기,공기청정기,식기세척기"
user_0068,2인,주택,주방,173,큼,내추럴,가끔,주 2~3회,,무,200~300만원,일시불,300,9,,로봇,전기오븐,"냉장고,세탁기,청소기,조리기기"
user_0069,2인,아파트,드레스룸,67,중간,인더스트리얼,자주,매일,,무,200~300만원,일시불,250,12,,무선청소기,전자레인지+인덕션,"냉장고,세탁기,조리기기"
user_0070,2인,아파트,서재,86,큼,클래식,거의 안 함,주 2~3회,영화/OTT 중심,무,300~500만원,일시불,200,10,50.0,스틱,전자레인지,"냉장고,세탁기,TV,식기세척기"
user_0071,2인,아파트,주방,62,중간,인더스트리얼,자주,주 2~3회,,유,500만원 이상,일시불,300,9,,스틱(펫모드),컨벡션 오븐,"냉장고,세탁기,조리기기,공기청정기,식기세척기"
user_0072,1인,아파트,방,48,중간,모던,자주,주 2~3회,일반 TV 시청,무,100만원대,일시불,180,9,43.0,로봇,컨벡션 오븐,세탁기
user_0073,5인 이상,원룸,,29,작음,클래식,거의 안 함,주 2~3회,일반 TV 시청,무,200~300만원,일시불,450,8,55.0,스틱,전자레인지,"세탁기,청소기"
user_0074,1인,원룸,,17,작음,클래식,거의 안 함,주 1회,영화/OTT 중심,무,100만원대,일시불,200,6,65.0,무선청소기,전자레인지,"냉장고,청소기"
user_0075,1인,원룸,,24,작음,내추럴,가끔,주 2~3회,일반 TV 시청,무,200~300만원,아직 잘 모름,150,8,43.0,스틱,전자레인지+인덕션,"냉장고,세탁기,청소기,조리기기"
user_0076,5인 이상,아파트,주방,66,중간,클래식,거의 안 함,주 2~3회,,유,300~500만원,일시불,450,9,,로봇+스틱,전자레인지,"냉장고,세탁기,건조기,청소기,공기청정기,식기세척기"
user_0077,3~4인,주택,서재,72,큼,모던,거의 안 함,주 2~3회,영화/OTT 중심,무,100만원대,혼합,300,8,50.0,스틱,전자레인지,"냉장고,세탁기,청소기"
user_0078,3~4인,아파트,기타,53,중간,인더스트리얼,거의 안 함,매일,일반 TV 시청,유,200~300만원,렌탈,300,12,43.0,스틱(펫모드),전자레인지,"냉장고,세탁기,TV,청소기,공기청정기"
user_0079,1인,원룸,,18,작음,클래식,거의 안 함,주 1회,영화/OTT 중심,무,300~500만원,렌탈,150,6,65.0,스틱,전자레인지,"냉장고,청소기,식기세척기"
user_0080,2인,아파트,기타,73,큼,클래식,거의 안 함,주 2~3회,일반 TV 시청,무,100만원대,아직 잘 모름,300,8,50.0,무선청소기,전자레인지,"냉장고,세탁기,공기청정기"
user_0081,3~4인,원룸,,19,작음,미니멀,거의 안 함,주 2~3회,일반 TV 시청,무,500만원 이상,렌탈,350,9,50.0,스틱,전자레인지,"냉장고,세탁기,건조기,TV,청소기,식기세척기"
user_0082,1인,아파트,기타,96,큼,미니멀,가끔,주 1회,일반 TV 시청,무,500만원 이상,아직 잘 모름,150,6,43.0,로봇,전자레인지+인덕션,"냉장고,세탁기,TV,청소기,조리기기,공기청정기"
user_0083,1인,오피스텔,거실,33,중간,미니멀,가끔,주 1회,일반 TV 시청,유,200~300만원,렌탈,150,8,50.0,스틱(펫모드),전기오븐,"냉장고,세탁기,TV,청소기,조리기기,공기청정기"
user_0084,5인 이상,원룸,,16,작음,클래식,가끔,주 1회,영화/OTT 중심,무,100만원대,일시불,450,6,55.0,무선청소기,전자레인지+인덕션,"냉장고,세탁기,TV,청소기"
user_0085,2인,원룸,,14,작음,인더스트리얼,거의 안 함,주 2~3회,일반 TV 시청,유,300~500만원,아직 잘 모름,200,10,50.0,스틱(펫모드),전자레인지,"냉장고,세탁기,TV,청소기,식기세척기"
user_0086,2인,아파트,드레스룸,43,중간,인더스트리얼,가끔,주 2~3회,,무,100만원대,아직 잘 모름,250,10,,스틱,전자레인지+인덕션,"냉장고,청소기"
user_0087,2인,주택,주방,115,큼,내추럴,가끔,주 2~3회,,무,300~500만원,아직 잘 모름,250,8,,스틱,전자레인지+인덕션,"냉장고,청소기,조리기기,식기세척기"
user_0088,3~4인,아파트,거실,96,큼,미니멀,거의 안 함,주 1회,영화/OTT 중심,무,100만원대,혼합,300,8,55.0,무선청소기,전자레인지,"냉장고,세탁기,TV,청소기"
user_0089,2인,주택,전체,102,큼,미니멀,가끔,주 2~3회,일반 TV 시청,무,200~300만원,일시불,250,10,43.0,로봇,전자레인지+인덕션,"냉장고,세탁기,청소기"
user_0090,3~4인,아파트,드레스룸,86,큼,인더스트리얼,거의 안 함,주 1회,,유,500만원 이상,일시불,300,8,,스틱(펫모드),전자레인지,"냉장고,세탁기,건조기,공기청정기"
user_0091,2인,아파트,방,70,큼,미니멀,거의 안 함,주 2~3회,영화/OTT 중심,무,200~300만원,일시불,200,8,65.0,스틱,전자레인지,"냉장고,세탁기,공기청정기"
user_0092,1인,아파트,드레스룸,51,중간,클래식,가끔,주 1회,,무,100만원대,일시불,150,7,,로봇,전자레인지+인덕션,"세탁기,청소기"
user_0093,3~4인,주택,드레스룸,100,큼,내추럴,거의 안 함,매일,,무,100만원대,렌탈,300,10,,스틱,전자레인지,"냉장고,세탁기,청소기"
user_0094,1인,오피스텔,드레스룸,37,중간,모던,자주,매일,,무,300~500만원,아직 잘 모름,150,12,,스틱,컨벡션 오븐,"냉장고,세탁기,청소기"
user_0095,1인,아파트,서재,50,중간,모던,가끔,주 1회,영화/OTT 중심,무,200~300만원,렌탈,200,6,50.0,스틱,전기오븐,"냉장고,세탁기,조리기기"
user_0096,3~4인,주택,주방,110,큼,인더스트리얼,가끔,주 2~3회,,무,200~300만원,렌탈,300,9,,무선청소기,전자레인지+인덕션,"냉장고,세탁기,조리기기"
user_0097,5인 이상,아파트,서재,72,큼,클래식,자주,주 1회,영화/OTT 중심,무,300~500만원,혼합,500,6,65.0,스틱,컨벡션 오븐,"냉장고,세탁기,TV,청소기,조리기기,공기청정기,식기세척기"
user_0098,1인,아파트,드레스룸,94,큼,내추럴,가끔,주 1회,,무,200~300만원,일시불,150,7,,스틱,전자레인지+인덕션,"세탁기,청소기,공기청정기"
user_0099,3~4인,오피스텔,서재,30,중간,미니멀,거의 안 함,주 1회,영화/OTT 중심,무,200~300만원,일시불,350,7,65.0,로봇,전자레인지,"냉장고,세탁기,TV,공기청정기"
user_0100,5인 이상,아파트,기타,88,큼,미니멀,자주,주 1회,일반 TV 시청,무,200~300만원,일시불,450,6,43.0,로봇,컨벡션 오븐,"냉장고,세탁기,조리기기,식기세척기"
user_0101,3~4인,원룸,,30,중간,모던,가끔,주 1회,일반 TV 시청,무,200~300만원,일시불,400,7,43.0,스틱,전기오븐,"냉장고,세탁기,TV,청소기,조리기기"
user_0102,1인,원룸,,24,작음,미니멀,거의 안 함,주 2~3회,영화/OTT 중심,무,100만원대,일시불,180,9,55.0,로봇,전자레인지,"냉장고,세탁기,TV"
user_0103,2인,아파트,거실,40,중간,클래식,거의 안 함,주 2~3회,영화/OTT 중심,무,100만원대,렌탈,250,9,50.0,로봇,전자레인지,"냉장고,세탁기,TV,청소기"
user_0104,3~4인,아파트,거실,51,중간,모던,거의 안 함,주 1회,영화/OTT 중심,무,200~300만원,렌탈,300,6,50.0,로봇,전자레인지,"냉장고,세탁기,TV"
user_0105,3~4인,아파트,서재,85,큼,인더스트리얼,거의 안 함,주 1회,일반 TV 시청,무,200~300만원,일시불,300,8,43.0,스틱,전자레인지,"냉장고,세탁기,TV,청소기,공기청정기,식기세척기"
user_0106,1인,아파트,드레스룸,87,큼,미니멀,자주,주 2~3회,,무,200~300만원,일시불,180,8,,스틱,빌트인 오븐,"냉장고,세탁기,조리기기,식기세척기"
user_0107,1인,아파트,전체,98,큼,미니멀,거의 안 함,주 2~3회,일반 TV 시청,유,300~500만원,일시불,180,8,50.0,스틱(펫모드),전자레인지,"냉장고,세탁기,청소기,공기청정기"
user_0108,1인,주택,드레스룸,108,큼,미니멀,거의 안 함,주 1회,,유,300~500만원,혼합,150,7,,로봇+스틱,전자레인지,"냉장고,세탁기"
user_0109,1인,주택,거실,100,큼,모던,거의 안 함,주 1회,영화/OTT 중심,무,200~300만원,일시불,150,7,65.0,스틱,전자레인지,"세탁기,TV,식기세척기"
user_0110,5인 이상,원룸,,30,중간,모던,자주,주 2~3회,게임 중심,무,200~300만원,일시불,450,9,65.0,로봇,전자레인지+인덕션,"냉장고,세탁기,TV,조리기기"
user_0111,1인,아파트,전체,62,중간,모던,가끔,주 1회,일반 TV 시청,무,300~500만원,일시불,200,8,50.0,로봇,전기오븐,"냉장고,세탁기,TV,청소기,조리기기,공기청정기"
user_0112,1인,오피스텔,거실,25,작음,클래식,가끔,주 1회,영화/OTT 중심,무,100만원대,일시불,180,6,55.0,무선청소기,전기오븐,"세탁기,식기세척기"
user_0113,1인,원룸,,13,작음,미니멀,가끔,주 1회,영화/OTT 중심,무,300~500만원,렌탈,150,6,50.0,스틱,전기오븐,"냉장고,세탁기,TV,청소기,조리기기,식기세척기"
user_0114,1인,아파트,드레스룸,90,큼,내추럴,가끔,주 1회,,무,100만원대,렌탈,200,7,,로봇,전자레인지+인덕션,"냉장고,세탁기,청소기,조리기기"
user_0115,3~4인,아파트,주방,89,큼,클래식,자주,주 1회,,무,100만원대,일시불,400,6,,로봇,빌트인 오븐,"냉장고,세탁기"
user_0116,1인,아파트,서재,59,중간,모던,거의 안 함,주 1회,영화/OTT 중심,무,300~500만원,일시불,150,6,50.0,무선청소기,전자레인지,"냉장고,세탁기,TV"
user_0117,1인,주택,주방,54,중간,미니멀,자주,주 2~3회,,무,200~300만원,렌탈,150,8,,무선청소기,빌트인 오븐,"냉장고,세탁기,청소기"
user_0118,5인 이상,아파트,주방,33,중간,미니멀,거의 안 함,주 2~3회,,무,200~300만원,아직 잘 모름,400,10,,스틱,전자레인지,"냉장고,세탁기"
user_0119,1인,아파트,기타,58,중간,모던,거의 안 함,매일,일반 TV 시청,무,200~300만원,일시불,180,12,43.0,스틱,전자레인지,"냉장고,세탁기,TV,청소기,공기청정기"
user_0120,1인,주택,방,101,큼,모던,거의 안 함,매일,영화/OTT 중심,무,300~500만원,일시불,150,10,55.0,로봇,전자레인지,"냉장고,세탁기"
user_0121,2인,오피스텔,전체,28,작음,모던,가끔,주 1회,영화/OTT 중심,무,200~300만원,렌탈,200,6,50.0,로봇,전자레인지+인덕션,"청소기,조리기기"
user_0122,2인,오피스텔,방,34,중간,내추럴,자주,주 1회,영화/OTT 중심,유,500만원 이상,렌탈,200,8,65.0,스틱(펫모드),전자레인지+인덕션,"냉장고,TV,청소기,조리기기,공기청정기,식기세척기"
user_0123,1인,주택,서재,56,중간,모던,거의 안 함,주 2~3회,영화/OTT 중심,무,300~500만원,일시불,180,8,65.0,스틱,전자레인지,"냉장고,세탁기"
user_0124,1인,아파트,전체,70,큼,내추럴,가끔,주 2~3회,영화/OTT 중심,무,300~500만원,아직 잘 모름,180,9,50.0,스틱,전자레인지+인덕션,"냉장고,세탁기,조리기기,공기청정기"
user_0125,1인,주택,거실,69,중간,인더스트리얼,가끔,주 1회,일반 TV 시청,무,300~500만원,렌탈,150,7,50.0,무선청소기,전기오븐,"냉장고,TV,청소기"
user_0126,3~4인,아파트,거실,53,중간,인더스트리얼,거의 안 함,주 1회,영화/OTT 중심,무,500만원 이상,아직 잘 모름,350,6,55.0,무선청소기,전자레인지,"냉장고,세탁기,건조기,TV"
user_0127,2인,아파트,서재,57,중간,미니멀,자주,주 2~3회,일반 TV 시청,유,100만원대,렌탈,200,9,50.0,스틱(펫모드),빌트인 오븐,"냉장고,세탁기,청소기,공기청정기"
user_0128,1인,오피스텔,주방,23,작음,모던,거의 안 함,주 2~3회,,무,200~300만원,일시불,150,8,,스틱,전자레인지,"냉장고,세탁기,청소기"
user_0129,1인,아파트,주방,77,큼,클래식,거의 안 함,주 1회,,무,100만원대,렌탈,200,7,,로봇,전자레인지,"냉장고,공기청정기,식기세척기"
user_0130,5인 이상,아파트,드레스룸,79,큼,미니멀,거의 안 함,주 1회,,무,200~300만원,일시불,450,8,,스틱,전자레인지,세탁기
user_0131,2인,원룸,,19,작음,클래식,가끔,주 2~3회,영화/OTT 중심,유,300~500만원,일시불,250,9,55.0,로봇+스틱,전자레인지+인덕션,"냉장고,TV,청소기,조리기기"
user_0132,1인,주택,거실,107,큼,인더스트리얼,거의 안 함,주 1회,영화/OTT 중심,무,100만원대,아직 잘 모름,150,6,55.0,스틱,전자레인지,"냉장고,청소기"
user_0133,3~4인,아파트,서재,86,큼,미니멀,거의 안 함,주 2~3회,영화/OTT 중심,무,300~500만원,일시불,300,10,55.0,무선청소기,전자레인지,"냉장고,TV,공기청정기"
user_0134,3~4인,오피스텔,서재,42,중간,인더스트리얼,거의 안 함,주 2~3회,영화/OTT 중심,무,200~300만원,아직 잘 모름,350,8,50.0,스틱,전자레인지,"냉장고,TV,청소기"
user_0135,1인,아파트,기타,74,큼,인더스트리얼,거의 안 함,주 1회,게임 중심,무,200~300만원,렌탈,150,8,65.0,스틱,전자레인지,"냉장고,세탁기,TV,청소기,공기청정기"
user_0136,3~4인,아파트,방,103,큼,미니멀,가끔,주 2~3회,게임 중심,유,200~300만원,혼합,350,8,75.0,로봇+스틱,전자레인지+인덕션,"냉장고,세탁기,청소기,공기청정기"
user_0137,1인,아파트,전체,72,큼,모던,거의 안 함,매일,게임 중심,무,200~300만원,일시불,150,12,65.0,스틱,전자레인지,"냉장고,세탁기,공기청정기,식기세척기"
user_0138,3~4인,아파트,기타,48,중간,클래식,거의 안 함,주 2~3회,일반 TV 시청,무,200~300만원,일시불,400,9,50.0,로봇,전자레인지,"냉장고,세탁기,공기청정기"
user_0139,2인,원룸,,15,작음,내추럴,자주,주 1회,일반 TV 시청,무,200~300만원,아직 잘 모름,200,6,43.0,무선청소기,컨벡션 오븐,"냉장고,세탁기,TV,조리기기"
user_0140,1인,아파트,전체,67,중간,인더스트리얼,자주,주 1회,일반 TV 시청,무,500만원 이상,일시불,150,7,43.0,무선청소기,전자레인지+인덕션,세탁기
user_0141,3~4인,아파트,서재,89,큼,클래식,자주,주 1회,일반 TV 시청,유,500만원 이상,혼합,350,7,43.0,스틱(펫모드),전자레인지+인덕션,"냉장고,세탁기,조리기기,공기청정기"
user_0142,2인,아파트,방,117,큼,클래식,자주,주 2~3회,영화/OTT 중심,유,100만원대,렌탈,250,10,55.0,로봇+스틱,컨벡션 오븐,"청소기,조리기기,공기청정기"
