제품군,항목명,설명
상업용 디스플레이,인터페이스,"터치 스크린 환경에 최적화된 대시보드를 지원하여, 마치 스마트폰이나 태블릿을 이용하듯 하단 런처를 통해 원하는 기능을 빠르게 불러올 수 있고 자주 쓰는 기능을 홈 화면에 배치해 이용하는 것도 가능합니다. PC에서 흔히 볼 수 있는 윈도우 운영체제 특유의 데스크톱 UI를 원하는 사용자를 위해 터치 메뉴를 빠르게 전환하는 기능도 제공합니다."
상업용 디스플레이,운영 체제 지원,"Android, Mac, Windows 및 IOS를 사용하는 모든 기기를 지원하며 개인용 기기와의 공유도 간편합니다."
상업용 디스플레이,멀티 터치 포인트,멀티 터치를 지원하여 여러 사람이 동시에 판서를 할 수 있습니다. 이는 높은 감도와 빠른 응답 시간을 갖추고 있어 사용자의 터치를 정확하고 빠르게 인식합니다.
상업용 디스플레이,ErP / Energy Star,"ErP(Energy-related Products Directive)는 유럽 연합 집행 기관(EC)이 유럽에서 판매되거나 수입되는 제품에 적용하는 규정으로, 제품이 에너지를 사용하거나 에너지 사용에 영향을 미치는 경우 요구됩니다. Energy Star는 미국 환경보호청(EPA)과 에너지부(DOE)가 에너지 효율이 높은 제품에 인증 마크를 부여하는 프로그램입니다."
상업용 디스플레이,LG ConnectedCare DMS,"사이니지 운영상태를 원격으로 실시간 분석해 고장을 사전 예측하고, 장애 발생 시 신속하게 출동해 최적화된 사이니지 상태를 유지해주는 LG전자만의 솔루션입니다."
상업용 디스플레이,Available Object Size for Touch,"사용자가 클릭, 터치 등의 방법으로 상호작용할 수 있는 최소 객체 크기를 나타내는 개념입니다. 이 값은 터치 패널 또는 터치 디스플레이의 기술과 해상도에 따라 다를 수 있습니다."
상업용 디스플레이,Protection Glass Thickness,"제품의 보호 유리 두께를 나타냅니다. 두꺼운 보호 유리는 화면을 땀이나 지문 자국으로부터 더 잘 보호하여 높은 반응성과 민감성을 유지할 수 있지만 너무 두꺼우면 터치 감도에 영향을 줄 수 있으며, 얇은 보호 유리는 터치 감도가 좋을 수 있으나 보호가 떨어질 수 있습니다."
상업용 디스플레이,Protection Glass Transmission,"터치 스크린으로서 기능하는 LCD 패널, 상기 LCD 패널과 접착 수단 위에 위치하는 보호창으로, 제품의 화면을 보호하는 동시에 터치 감도와 화질을 유지하는 데 중요한 역할을 합니다. 이 기능은 특수한 보호 유리를 통해 구현되며 외부 충격, 스크래치, 먼지로부터 제품을 보호하면서도 사용자의 터치 입력을 정확하게 감지하고 전달합니다."
상업용 디스플레이,ErP / Energy,"ErP(Energy-related Products Directive)는 유럽 연합 집행 기관(EC)이 유럽에서 판매되거나 수입되는 제품에 적용하는 규정으로, 제품이 에너지를 사용하거나 에너지 사용에 영향을 미치는 경우 요구됩니다. Energy Star는 미국 환경보호청(EPA)과 에너지부(DOE)가 에너지 효율이 높은 제품에 인증 마크를 부여하는 프로그램입니다."
상업용 디스플레이,Haze,어떤 각도에서 바라보더라도 색을 또렷하게 보여줍니다. 표면에 적용한 블랙 코팅은 블랙 색상을 깊고 풍부하게 표현해 초대형 화면의 몰입감을 한층 높여줍니다.
상업용 디스플레이,VESA,VESA(Video Electronics Standards Association)에서 디스플레이 장치인 모니터 및 TV 마운트 홀에 대해 지정한 국제 표준규격입니다. 사용자는 이 인터페이스를 활용하여 디스플레이를 효율적으로 설치하고 원하는 위치에 맞게 조절할 수 있습니다.
상업용 디스플레이,OS,Windowns 10 운영 체제를 사용하여 다양한 사용자 설정을 통해 원하는 프로그램을 쉽게 설치하고 실행할 수 있습니다.
상업용 디스플레이,Dynamic CR,"디스플레이가 표현할 수 있는 가장 밝은 백색과 가장 어두운 흑색 사이의 밝기 차이로, 이는 어두운 화면에서는 백라이트의 밝기를 낮춰 어두운 부분의 디테일을 확인할 수 있게 하고 밝은 화면에서는 백라이트의 밝기를 높여 밝은 부분을 잘 보여주는 기술입니다. 동적 명암비가 높을수록 더 세밀한 색상을 표현할 수 있어 이미지가 더 생동감 있고 명확하게 보입니다."
상업용 디스플레이,VESA™ 표준 마운트,VESA(Video Electronics Standards Association)에서 디스플레이 장치인 모니터 및 TV 마운트 홀에 대해 지정한 국제 표준규격입니다. 사용자는 이 인터페이스를 활용하여 디스플레이를 효율적으로 설치하고 원하는 위치에 맞게 조절할 수 있습니다.
상업용 디스플레이,표면 처리 (Haze),"표면 처리 기술을 적용해 다양한 각도에서도 색을 왜곡 없이 선명하고 정확하게 보여줍니다. 터치스크린 기능이 있는 모델의 경우, 지문이나 얼룩에 강한 표면 처리가 적용될 수 있으며 이는 화면을 깨끗하고 읽기 쉽게 유지하는 데 도움이 됩니다."
상업용 디스플레이,SuperSign - WB,비디오 월 또는 표준 사이니지 모니터의 화이트 밸런스를 제어하는 소프트웨어 솔루션입니다.
상업용 디스플레이,픽셀 피치,"픽셀 피치는 픽셀 간의 거리 간격을 의미합니다. mm(밀리미터) 단위로 측정되며, 이 수치가 작을수록 픽셀 간의 거리가 가까워져 화면이 더욱 세밀하게 보입니다. 작은 픽셀 피치를 가진 디스플레이는 멀리서 봐도 이미지의 세부 사항이 선명하게 보여 대중에게 정보를 전달하는 대형 광고판이나 대규모 디스플레이에 적합합니다."
상업용 디스플레이,색온도 (K),"디스플레이에서 제공하는 색상의 온도를 나타내며, 켈빈(K) 단위로 측정됩니다. 낮은 색온도는 따뜻한(붉은색 계열) 이미지를, 높은 색온도는 차가운(파란색 계열) 이미지를 나타냅니다. 디스플레이에서 White 컬러를 맞출 때, 표준광원인 6500K의 색온도를 기준으로 하고 있습니다."
상업용 디스플레이,OPS Type 호환,인텔 표준 규격인 OPS(Open Pluggable Specification)와 호환되어 사용자가 자신의 환경에 최적화된 미디어 플레이어를 자유롭게 선택할 수 있습니다.
상업용 디스플레이,콘텐츠 관리 소프트웨어,"콘텐츠 관리 소프트웨어(CMS)는 웹사이트 및 웹 어플리케이션에서 디지털 콘텐츠의 생성, 구성 및 게시를 용이하게 하도록 설계된 강력하고 사용자 친화적인 소프트웨어 플랫폼입니다. 사용자는 텍스트, 이미지, 비디오 및 기타 멀티미디어 구성 요소와 같은 온라인 상태의 다양한 측면을 효율적으로 관리하고 제어할 수 있습니다. 이는 보다 쉽고 친숙한 인터페이스를 제공함으로써 복잡한 프로세스를 간소화시켜줍니다."
상업용 디스플레이,컨트롤 및 모니터링 소프트웨어,"분산된 설비를 쉽게 연결하고 수집된 데이터를 저장 및 공유하며 언제 어디서든 실시간 모니터링이 가능합니다. 수집된 데이터로 사용자는 전체 상황을 한눈에 보고 관리할 수 있으며, 작동 상태와 문제 발생 여부를 실시간으로 모니터링할 수 있어 적시에 문제 해결이나 유지보수가 가능합니다."
상업용 디스플레이,CPU,"CPU(Central Processing Unit)는 컴퓨터 시스템을 통제하고 프로그램의 연산을 실행, 처리하는 가장 핵심적인 제어 장치입니다. 외부에서 정보를 입력받아 기억하고, 컴퓨터 프로그램의 명령어를 해석하여 연산한 다음, 외부로 출력하는 역할을 합니다. 이는 제품의 성능과 반응 속도를 결정 지으며 고성능 CPU를 탑재한 제품은 더 빠른 데이터 처리 능력을 가져 복잡한 그래픽과 미디어 콘텐츠를 원활하게 재생할 수 있습니다."
상업용 디스플레이,RAM,"RAM(Random Access Memory)은 임의의 영역에 접근하여 읽고 쓰기가 가능한 주기억 장치로 현재 수행 중인 작업, 관련 데이터와 정보를 임시로 저장하여 CPU가 빠르게 접근하고 처리할 수 있게 해줍니다. RAM 용량이 클수록 제품은 더 많은 정보를 동시에 처리할 수 있으며, 이는 멀티태스킹 능력과 전체 시스템의 반응 속도를 향상시킵니다."
상업용 디스플레이,지원 OS,"Android, Mac, Windows 및 IOS를 사용하는 모든 기기를 지원하며 개인용 기기와의 공유도 간편합니다."
상업용 디스플레이,Color Gamut,"색재현율(Color Gamut)은 디스플레이에서 표현 가능한 색상의 범위입니다. 자연의 색을 얼마나 실제에 가깝게 표현하는지 가늠할 수 있는 척도로, 높을수록 더 많은 색상을 표현할 수 있고 사실에 가까운 색을 낼 수 있습니다."
상업용 디스플레이,와이파이,"와이파이(Wi-Fi)는 전자기기들이 무선랜에 연결할 수 있게 하는 기술로, 내장 Wi-Fi 기능이 탑재되어 있어 무선 네트워크를 통해 콘텐츠를 스트리밍하거나 업데이트할 수 있습니다."
상업용 디스플레이,온도 감지 센서,"세트가 위험 온도가 되었을 경우, 현재 온도를 기록하여 메일을 발송합니다. 온도 센서가 연결되어 있지 않거나 통신 상태를 알 수 없는 상태 또는 칩 제공사가 제공하는 정보가 비정상일 때 메일이 발송됩니다."
상업용 디스플레이,스플릿 뷰 전체 모드 / 분할 모드,"멀티태스킹을 위한 스플릿 뷰 기능은 파일 공유와 아이디어 회의를 동시에 진행할 수 있습니다. 전체 모드는 화면 전체를 사용하여 하나의 이미지를 표시하며, 분할 모드는 화면을 분할하여 여러 이미지를 동시에 표시할 수 있습니다."
상업용 디스플레이,해상도,한 화면에 포함된 총 화소(픽셀)의 수를 말합니다. 보통 가로와 세로의 화소수로 나타내며(가로x세로) 해상도가 높을수록 세밀하고 선명한 화면을 볼 수 있습니다.
상업용 디스플레이,배열,마이크 배열은 사운드 소스를 격리하고 주변 노이즈 및 반향을 거부하는 데 더 나은 성능을 발휘합니다. 이를 통해 발화자의 음성을 명확하게 포착하여 향상된 오디오 품질을 제공합니다.
상업용 디스플레이,음성인식 거리,"화면 터치 없이도 음성 명령으로 주요 기능을 간편하게 사용할 수 있습니다. * 음성 주문은 일부 특정 기능으로 제한됩니다. (전원 ON/OFF, 볼륨 조절, 앱 실행 등)"
